Trip_ID,Zone Start,Route,Zone End,Direction,Tag_off_hour,Tag_on_hour,Tag_on_minute,Tag_off_minute
0,9.0,567,13.0,Inbound,17.0,14,12,9
1,0.0,551,6.0,Outbound,6.0,6,2,2
2,6.0,562,7.0,Outbound,20.0,16,7,6
3,8.0,562,7.0,Outbound,8.0,12,4,1
4,6.0,563,7.0,Outbound,9.0,6,3,3
5,6.0,563,7.0,Inbound,12.0,9,9,10
6,5.0,553,6.0,Inbound,14.0,11,12,2
7,6.0,560,6.0,Outbound,9.0,6,6,2
8,1.0,555,6.0,Outbound,12.0,9,7,11
9,6.0,563,9.0,Outbound,7.0,7,6,7
10,1.0,555,6.0,Inbound,11.0,8,3,7
11,1.0,551,5.0,Inbound,7.0,6,10,12
12,3.0,576,4.0,Inbound,15.0,12,12,2
13,6.0,569,6.0,Inbound,7.0,6,7,4
14,6.0,572,6.0,Outbound,13.0,10,8,11
15,2.0,554,5.0,Outbound,17.0,14,5,5
16,5.0,552,6.0,Inbound,14.0,11,8,7
17,9.0,569,6.0,Outbound,15.0,12,11,5
18,1.0,555,5.0,Inbound,16.0,13,2,4
19,5.0,552,5.0,Inbound,15.0,11,7,7
20,6.0,553,12.0,Outbound,12.0,9,3,3
21,5.0,550,6.0,Inbound,14.0,10,6,9
22,1.0,556,6.0,Inbound,19.0,16,3,8
23,4.0,566,6.0,Inbound,7.0,7,2,3
24,1.0,551,4.0,Inbound,6.0,6,4,5
25,5.0,560,6.0,Inbound,11.0,7,8,8
26,6.0,560,6.0,Inbound,6.0,6,4,3
27,6.0,560,6.0,Inbound,18.0,15,8,7
28,5.0,573,5.0,Inbound,8.0,9,12,1
29,2.0,566,6.0,Inbound,23.0,20,2,5
30,1.0,573,5.0,Inbound,8.0,20,8,11
31,1.0,555,5.0,Inbound,11.0,7,2,4
32,3.0,560,6.0,Outbound,11.0,7,9,9
33,2.0,555,6.0,Outbound,16.0,23,8,11
34,5.0,578,5.0,Inbound,10.0,7,5,4
35,2.0,555,6.0,Outbound,14.0,11,3,6
36,1.0,573,4.0,Inbound,8.0,5,2,5
37,6.0,563,7.0,Inbound,7.0,7,4,8
38,5.0,552,13.0,Inbound,7.0,13,7,10
39,1.0,555,4.0,Outbound,19.0,16,1,4
40,5.0,554,6.0,Inbound,8.0,12,6,7
41,5.0,553,5.0,Outbound,12.0,9,4,5
42,5.0,554,4.0,Inbound,7.0,7,8,1
43,6.0,560,6.0,Inbound,15.0,22,3,2
44,1.0,555,5.0,Outbound,15.0,12,7,10
45,1.0,555,5.0,Inbound,18.0,14,3,7
46,0.0,552,5.0,Inbound,15.0,18,8,4
47,8.0,560,6.0,Outbound,8.0,23,9,6
48,5.0,553,7.0,Inbound,22.0,19,5,12
49,7.0,563,7.0,Inbound,11.0,16,11,11
50,1.0,555,5.0,Inbound,7.0,7,4,12
51,1.0,555,5.0,Outbound,19.0,14,2,5
52,5.0,552,5.0,Outbound,7.0,7,7,2
53,3.0,554,5.0,Outbound,14.0,10,10,12
54,4.0,551,1.0,Outbound,16.0,13,12,7
55,4.0,573,5.0,Outbound,17.0,1,7,5
56,6.0,560,5.0,Outbound,11.0,8,11,11
57,6.0,566,6.0,Inbound,8.0,9,9,7
58,7.0,563,9.0,Outbound,16.0,13,9,11
59,3.0,555,4.0,Inbound,13.0,9,9,8
60,1.0,555,5.0,Inbound,17.0,14,2,5
61,1.0,555,6.0,Inbound,13.0,10,3,9
62,6.0,560,6.0,Outbound,9.0,6,5,5
63,1.0,581,13.0,Outbound,15.0,12,6,12
64,5.0,572,5.0,Inbound,11.0,8,12,8
65,5.0,552,7.0,Inbound,9.0,5,9,11
66,1.0,573,4.0,Inbound,6.0,5,12,2
67,2.0,555,6.0,Inbound,21.0,17,7,11
68,1.0,555,7.0,Inbound,10.0,7,4,12
69,1.0,573,6.0,Outbound,17.0,21,9,10
70,1.0,569,6.0,Inbound,8.0,12,10,3
71,1.0,555,3.0,Outbound,8.0,5,8,9
72,5.0,552,5.0,Inbound,15.0,12,3,11
73,2.0,555,5.0,Outbound,12.0,9,5,5
74,1.0,573,6.0,Inbound,7.0,6,11,11
75,2.0,555,6.0,Outbound,16.0,13,9,3
76,5.0,555,3.0,Outbound,18.0,15,2,3
77,1.0,575,13.0,Inbound,6.0,5,12,9
78,5.0,552,5.0,Inbound,13.0,10,5,1
79,1.0,571,3.0,Outbound,16.0,12,11,1
80,4.0,561,5.0,Inbound,7.0,7,3,3
81,3.0,576,5.0,Outbound,7.0,7,5,5
82,9.0,575,6.0,Outbound,17.0,11,9,9
83,5.0,553,7.0,Inbound,13.0,10,3,5
84,7.0,566,2.0,Inbound,8.0,17,8,12
85,4.0,552,5.0,Outbound,9.0,6,10,1
86,4.0,553,5.0,Inbound,14.0,11,8,9
87,5.0,550,5.0,Inbound,9.0,6,4,9
88,1.0,555,4.0,Inbound,13.0,10,3,5
89,4.0,576,1.0,Inbound,11.0,8,6,1
90,6.0,563,8.0,Outbound,15.0,11,11,3
91,1.0,573,5.0,Inbound,7.0,7,1,7
92,6.0,560,6.0,Inbound,14.0,11,1,3
93,5.0,552,6.0,Outbound,9.0,6,3,3
94,1.0,566,6.0,Outbound,16.0,13,2,6
95,5.0,561,17.0,Inbound,7.0,7,3,3
96,5.0,565,9.0,Inbound,10.0,6,11,12
97,3.0,550,6.0,Outbound,16.0,12,6,8
